latitude,longitude,acq_date,confidence,frp,daynight
37.98835,-8.12102,2026-05-15,l,11.72,D
38.26486,-7.35892,2026-05-15,n,4.53,D
38.26549,-7.35429,2026-05-15,n,10.58,D
38.49642,-6.1621,2026-05-15,n,4.83,D
38.51295,-8.8471,2026-05-15,n,3.17,D
38.99362,-7.84432,2026-05-15,n,4.35,D
41.4537,-1.08311,2026-05-15,n,6.78,D
51.20933,-1.06509,2026-05-15,n,3.33,D
64.64723,24.42758,2026-05-16,n,2.1,N
64.64786,24.42177,2026-05-16,n,2.94,N
64.66596,21.28699,2026-05-16,n,6.11,N
64.66645,21.27496,2026-05-16,n,6.11,N
65.56187,22.22952,2026-05-16,n,2.95,N
65.56236,22.21787,2026-05-16,n,2.95,N
65.76391,24.18106,2026-05-16,n,4.93,N
65.76776,24.19309,2026-05-16,n,1.65,N
65.76833,24.18269,2026-05-16,n,1.65,N
66.31425,14.17473,2026-05-16,n,1.32,N
47.01075,29.08383,2026-05-16,n,0.46,N
47.01402,29.08498,2026-05-16,n,0.62,N
47.78597,29.01736,2026-05-16,n,0.47,N
47.78941,28.95422,2026-05-16,n,1.58,N
48.60615,21.1781,2026-05-16,n,1.99,N
50.29472,28.22247,2026-05-16,n,1.32,N
50.54296,26.26098,2026-05-16,n,0.88,N
51.25283,26.62504,2026-05-16,n,0.85,N
51.25388,26.62564,2026-05-16,n,0.81,N
52.84599,29.99024,2026-05-16,n,19.22,N
53.52044,9.89939,2026-05-16,n,0.79,N
39.86411,26.24377,2026-05-16,n,1.99,N
39.86739,26.24469,2026-05-16,n,1.37,N
40.18466,29.22747,2026-05-16,n,0.27,N
40.24276,29.9249,2026-05-16,n,0.66,N
40.28375,23.44327,2026-05-16,n,0.59,N
40.44351,27.13798,2026-05-16,n,1.75,N
40.68668,20.72816,2026-05-16,n,1.35,N
40.7574,29.75989,2026-05-16,n,1.59,N
40.75758,29.35972,2026-05-16,n,0.53,N
40.76492,29.52816,2026-05-16,n,1.19,N
40.76841,29.52929,2026-05-16,n,1.19,N
40.78089,29.59957,2026-05-16,n,1.7,N
40.80263,29.37036,2026-05-16,n,1.0,N
41.01948,28.55633,2026-05-16,n,0.89,N
41.02148,28.55886,2026-05-16,n,0.61,N
41.02238,28.55397,2026-05-16,n,0.61,N
41.02286,28.55743,2026-05-16,n,0.89,N
41.63041,27.68542,2026-05-16,n,0.94,N
41.63396,22.44082,2026-05-16,n,1.84,N
41.63475,27.50814,2026-05-16,n,0.84,N
41.63587,22.44242,2026-05-16,n,3.62,N
41.63652,22.43716,2026-05-16,n,3.62,N
41.63747,22.4417,2026-05-16,n,3.7,N
41.79649,26.7008,2026-05-16,n,0.73,N
42.59127,23.10094,2026-05-16,n,0.8,N
42.7164,24.17037,2026-05-16,n,3.65,N
43.23281,27.5957,2026-05-16,n,0.95,N
44.0817,22.1028,2026-05-16,n,1.13,N
44.24108,28.31169,2026-05-16,n,0.53,N
45.12427,25.41846,2026-05-16,n,1.35,N
45.95135,25.28149,2026-05-16,n,1.16,N
45.95312,22.86751,2026-05-16,n,0.91,N
46.89685,26.03147,2026-05-16,n,1.04,N
37.86163,29.37487,2026-05-16,n,0.94,N
38.42596,27.21468,2026-05-16,n,1.4,N
38.45637,27.26222,2026-05-16,n,0.77,N
