latitude,longitude,acq_date,confidence,frp,daynight
47.79216,12.1784,2026-05-17,n,1.46,N
48.27603,14.34068,2026-05-17,n,0.83,N
48.27969,14.34247,2026-05-17,n,0.83,N
48.33266,9.73022,2026-05-17,n,1.04,N
48.69071,6.96667,2026-05-17,n,0.89,N
48.97441,24.70808,2026-05-17,n,1.11,N
49.01754,8.61155,2026-05-17,n,0.43,N
49.05906,8.3307,2026-05-17,n,0.38,N
49.34741,6.74402,2026-05-17,n,1.55,N
49.35736,6.74736,2026-05-17,n,1.27,N
49.57625,27.91952,2026-05-17,n,1.07,N
49.57827,27.92392,2026-05-17,n,0.4,N
49.65585,8.36648,2026-05-17,n,0.6,N
49.84859,6.45081,2026-05-17,n,0.53,N
49.84934,6.44534,2026-05-17,n,0.53,N
50.54193,26.26142,2026-05-17,n,1.0,N
50.54383,26.25569,2026-05-17,n,1.45,N
50.65557,11.43263,2026-05-17,n,1.48,N
50.83711,-1.36496,2026-05-17,n,1.17,N
51.18239,16.11347,2026-05-17,n,2.37,N
51.59488,8.33625,2026-05-17,n,0.96,N
51.59816,8.3375,2026-05-17,n,0.96,N
51.61948,8.51027,2026-05-17,n,1.01,N
51.62441,8.50047,2026-05-17,n,0.51,N
51.67992,15.9945,2026-05-17,n,0.97,N
51.68001,15.99572,2026-05-17,n,1.98,N
51.6835,15.99656,2026-05-17,n,0.56,N
51.68361,-5.03189,2026-05-17,n,1.09,N
51.68811,15.97567,2026-05-17,n,1.33,N
51.68813,15.97684,2026-05-17,n,1.75,N
51.76648,8.05582,2026-05-17,n,0.65,N
51.85796,8.03195,2026-05-17,n,0.37,N
52.17191,14.62846,2026-05-17,n,0.75,N
52.17448,14.61576,2026-05-17,n,1.29,N
52.40139,12.49865,2026-05-17,n,1.2,N
53.13179,8.67913,2026-05-17,n,1.6,N
53.13509,8.68046,2026-05-17,n,1.97,N
53.13837,8.68179,2026-05-17,n,1.97,N
53.13921,8.67601,2026-05-17,n,1.93,N
54.66897,-5.92326,2026-05-17,n,0.57,N
35.09363,5.64712,2026-05-17,n,0.83,N
35.09702,5.64796,2026-05-17,n,0.45,N
35.31115,-1.34195,2026-05-17,n,0.97,N
35.31202,-1.34268,2026-05-17,n,0.81,N
35.34748,5.76182,2026-05-17,n,2.28,N
35.5281,-0.27848,2026-05-17,n,0.8,N
35.53171,-0.27793,2026-05-17,n,0.8,N
35.70707,4.47744,2026-05-17,n,1.31,N
35.76328,-0.26222,2026-05-17,n,1.8,N
35.8053,-0.24412,2026-05-17,n,2.01,N
35.80724,-0.25936,2026-05-17,n,1.06,N
35.81021,-0.25366,2026-05-17,n,0.89,N
